transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
B0207.11.1	1.9869886706311426	-0.5191851074062707	1.292586023017816	-0.40166387239289725	0.6879314160330477	
B0207.12a.1	0.17520419696643974	0.9441306898495672	4.4254826242254115	0.21333959931993124	0.8310620886370188	
B0207.12a.2	0.3212017648574564	-0.017658593872891735	4.120167123021599	-0.004285892621739453	0.9965803629170064	
B0207.12b	0.8231805976817862	-0.6237115675310496	1.958158794447789	-0.3185194016437975	0.7500909800210518	
B0207.12c	0.0					
B0207.13	0.0					
B0207.14	0.0					
B0207.15	0.0					
B0207.16	0.0					
B0207.2.1	0.998384794648226	-0.01762862602385499	1.6974674390592326	-0.010385251356353023	0.9917139172300731	
B0207.2.2	0.0					
B0207.3.1	0.0					
B0207.4.1	1.1339583923461363	0.36929714481413534	1.9865177949569708	0.18590175519778546	0.852521805747742	
B0207.4.2	81.15253514193596	-0.08650645374695745	0.23293741565440593	-0.3713720850895909	0.7103604141928082	0.9999892319025653
B0207.5a.1	0.0					
B0207.5b.1	0.0					
B0207.6	34.38429802736871	-0.1726997063517537	0.3292176690464903	-0.5245760558719161	0.5998779354959269	0.9999892319025653
B0207.7.1	0.6550276537817789	-0.0762589936318686	2.686935177522236	-0.02838140431143226	0.977357955436799	
B0207.9.1	0.975914699965785	2.172053380133197	2.554045800881298	0.8504363466715081	0.3950825356766339	
B0207.9.2	1.6660229583159747	-1.2671024068386378	1.5756033927953847	-0.804201369857795	0.42128068780934325	
B0212.1a.1	0.0					
B0212.1b.1	0.6648085724470881	1.4637398912524824	2.3939420719774933	0.6114349667798661	0.540911659673025	
B0212.1c	0.0					
B0212.2.1	0.0					
B0212.3	4.3292593484291	-1.457825928254314	0.9244342485249027	-1.5769925558043003	0.11479723797133769	0.9999892319025653
B0212.4a.1	1.8164782405950515	0.2269181092322626	1.3303822706112631	0.170566095358443	0.8645649591770734	
B0212.4b.1	0.0					
B0212.4c.1	1.3317249643070757	-0.005720379341416097	1.6441569036604544	-0.0034792174206005402	0.9972239917370029	
B0212.4d.1	0.3334975560699756	-0.017658734497511937	4.073415095934756	-0.004335117851145405	0.9965410872313472	
B0212.4d.2	0.0					
B0212.5.1	0.0					
B0212.7	0.0					
B0212.8	0.0					
B0212.9	0.632229226244991	2.7801800433499846	4.265001911547186	0.6518590380517408	0.5144921117279007	
B0212.t1	0.0					
B0213.10.1	0.0					
B0213.11a.1	0.15805730656124775	0.9441306898495685	4.4254826242254115	0.21333959931993154	0.8310620886370186	
B0213.11b.1	0.0					
B0213.11c.1	0.0					
B0213.12.1	0.0					
B0213.14	10.913557613518188	0.6825583183610193	0.6314171591912331	1.080994249879575	0.2796996714450374	0.9999892319025653
B0213.15a.1	3.609515002125518	1.3822840400374856	1.0254158245859566	1.348022925817071	0.17765100901442032	
B0213.15b.1	0.8125205749463916	1.856971773412767	2.6305932647098063	0.705913680508727	0.4802418193868626	
B0213.15c.1	0.0					
B0213.15d.1	0.0					
B0213.16.1	0.15805730656124775	0.9441306898495685	4.4254826242254115	0.21333959931993154	0.8310620886370186	
B0213.17	1.6562207801600437	-0.59871877359151	1.4039745314059082	-0.42644560866212194	0.6697831735592865	
B0213.18	0.0					
B0213.19	0.0					
B0213.2	29.004789045107575	0.41667356213385537	0.4096134400247339	1.0172360606836903	0.30904114522847725	0.9999892319025653
B0213.20	0.0					
B0213.21	0.0					
B0213.22	0.0					
B0213.23	0.0					
B0213.24	0.0					
B0213.25	0.0					
B0213.3.1	30.511895728685033	-1.0130807125569268	0.781043186536972	-1.2970866784572748	0.19460136459135335	0.9999892319025653
B0213.4	21.01336393682063	-0.7960593656852644	0.4973372523784107	-1.6006429477749313	0.10945602414033764	0.9999892319025653
B0213.5.1	0.48426755702250285	0.8476687817331939	2.960858122843532	0.2862915906686926	0.7746547983797675	
B0213.6.1	14.224095355987743	-0.7036084729262151	0.5648469584736683	-1.2456621432954311	0.21288845737366713	0.9999892319025653
B0213.7.1	0.0					
B0213.8.1	0.0					
B0213.9.1	0.0					
B0218.1.1	14.08604652788347	0.07655214236391225	0.510044919006947	0.15008902061598534	0.8806943821424617	0.9999892319025653
B0218.1.2	0.0					
B0218.2	10.26440518978004	-0.021766746115540456	0.6000462499810878	-0.03627511398700767	0.971062993037775	0.9999892319025653
B0218.3	7.9582000609647325	-0.1450359386976577	0.6505600032692886	-0.22294014075381524	0.8235820946772319	0.9999892319025653
B0218.5.1	1.326873865114403	-0.03008398956910621	1.5211580024932876	-0.019777031393054752	0.9842212405932532	
B0218.6a.1	10.964513801091172	-0.11658703299970864	0.5999617742844819	-0.19432410196258096	0.8459221146913831	0.9999892319025653
B0218.6b.1	2.3297950402818515	0.837969232797675	1.2523842099672586	0.6690991679139601	0.503432220729134	
B0218.7.1	8.458292204038111	-0.2033466780192713	0.7158829229330294	-0.2840501868463963	0.7763719203446483	0.9999892319025653
B0218.8	16.826810178290142	1.7498395129955822	0.5642634352460968	3.1011038527286647	0.0019280065794020414	0.1376082562605217
B0218.9	0.0					
B0222.1.1	0.3332615035276875	1.8497818642142951	4.199159199011732	0.4405124398831174	0.6595660044623083	
B0222.10	0.0					
B0222.11.1	0.17520419696643974	0.9441306898495672	4.4254826242254115	0.21333959931993124	0.8310620886370188	
B0222.12	0.0					
B0222.13	0.0					
B0222.14	0.0					
B0222.15.1	0.15805730656124775	0.9441306898495685	4.4254826242254115	0.21333959931993154	0.8310620886370186	
B0222.2.1	0.0					
B0222.3	1.1688165585531551	-0.4365221443759591	1.6080389829742527	-0.2714624141565034	0.7860354038512835	
