Name	Project	Life Stage			
RNASeq.elegans.WBStrain00000001.WBls:0000008.Hermaphrodite.WBbt:0007833.SRP000401.SRX085219	RNASeq_Study.SRP000401	4-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000008.Hermaphrodite.WBbt:0007833.SRP000401.SRX085220	RNASeq_Study.SRP000401	4-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000008.Hermaphrodite.WBbt:0007833.SRP000401.SRX145480	RNASeq_Study.SRP000401	4-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0005772.SRP000401.SRX145482	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX085217	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX085218	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX099985	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX099995	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX1020630	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX1020631	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX1020633	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022585	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022601	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022602	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022603	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022645	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022646	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000010.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022647	RNASeq_Study.SRP000401	gastrulating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000013.Hermaphrodite.WBbt:0007833.SRP000401.SRX099986	RNASeq_Study.SRP000401	enclosing embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000013.Hermaphrodite.WBbt:0007833.SRP000401.SRX099987	RNASeq_Study.SRP000401	enclosing embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000013.Hermaphrodite.WBbt:0007833.SRP000401.SRX099996	RNASeq_Study.SRP000401	enclosing embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000013.Hermaphrodite.WBbt:0007833.SRP000401.SRX099997	RNASeq_Study.SRP000401	enclosing embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000013.Hermaphrodite.WBbt:0007833.SRP000401.SRX099998	RNASeq_Study.SRP000401	enclosing embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000013.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022570	RNASeq_Study.SRP000401	enclosing embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000013.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022571	RNASeq_Study.SRP000401	enclosing embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000013.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022604	RNASeq_Study.SRP000401	enclosing embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000013.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022648	RNASeq_Study.SRP000401	enclosing embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000013.Hermaphrodite.WBbt:0007833.SRP000401.SRX103652	RNASeq_Study.SRP000401	enclosing embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000013.Hermaphrodite.WBbt:0007833.SRP000401.SRX103653	RNASeq_Study.SRP000401	enclosing embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX099980	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX099981	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX099999	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX100000	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX100001	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX100819	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022568	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022569	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022572	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022573	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022575	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022580	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022581	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022607	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022608	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022649	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022651	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022652	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000014.Hermaphrodite.WBbt:0007833.SRP000401.SRX103677	RNASeq_Study.SRP000401	late cleavage stage embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX099982	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX099983	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX099984	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX099988	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX099989	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX099990	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX100002	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX100004	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX100005	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022576	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022578	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022579	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022582	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022583	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022586	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022587	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022588	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022589	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022593	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022653	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX1022654	RNASeq_Study.SRP000401	elongating embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000015.Hermaphrodite.WBbt:0007833.SRP000401.SRX103672	RNASeq_Study.SRP000401	elongating embryo Ce			
